"CBSA Code",Geographic area,Legal/statistical area description,Population,,Population rank1,,"Land area in square miles
21060,"Elizabethtown, KY",Metropolitan Statistical Area,"119,736","107,547",314,320,884.8,
21140,"Elkhart-Goshen, IN",Metropolitan Statistical Area,"197,559","182,791",215,205,463.2,
21300,"Elmira, NY",Metropolitan Statistical Area,"88,830","91,070",357,346,407.4,
21340,"El Paso, TX",Metropolitan Statistical Area,"800,647","679,622",66,69,"1,012.7",
21500,"Erie, PA",Metropolitan Statistical Area,"280,566","280,843",164,155,799.2,
21660,"Eugene-Springfield, OR",Metropolitan Statistical Area,"351,715","322,959",143,139,"4,553.1",
21780,"Evansville, IN-KY",Metropolitan Statistical Area,"358,676","342,815",142,133,"2,284.0",
21820,"Fairbanks, AK",Metropolitan Statistical Area,"97,581","82,840",346,355,"7,338.2",
22020,"Fargo, ND-MN",Metropolitan Statistical Area,"208,777","174,367",204,214,"2,810.3",
22140,"Farmington, NM",Metropolitan Statistical Area,"130,044","113,801",296,300,"5,513.1",
22180,"Fayetteville, NC",Metropolitan Statistical Area,"366,383","336,609",139,136,"1,043.1",
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,"463,204","347,045",109,130,"3,163.1",
22380,"Flagstaff, AZ",Metropolitan Statistical Area,"134,421","116,320",289,293,"18,618.9",
22420,"Flint, MI",Metropolitan Statistical Area,"425,790","436,141",115,104,637.0,
22500,"Florence, SC",Metropolitan Statistical Area,"205,566","193,155",206,198,"1,361.1",
22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,"147,137","142,950",268,257,"1,260.3",
22540,"Fond du Lac, WI",Metropolitan Statistical Area,"101,633","97,296",341,340,719.6,
22660,"Fort Collins-Loveland, CO",Metropolitan Statistical Area,"299,630","251,494",156,167,"2,596.0",
22900,"Fort Smith, AR-OK",Metropolitan Statistical Area,"298,592","273,170",158,158,"3,996.3",
23060,"Fort Wayne, IN",Metropolitan Statistical Area,"416,257","390,156",121,116,"1,361.0",
23420,"Fresno, CA",Metropolitan Statistical Area,"930,450","799,407",55,58,"5,958.0",
