GeoFips,GeoName,LineCode,Description,2021,
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,74.243,
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),24407762,
13220,"Beckley, WV (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),3838171,
13220,"Beckley, WV (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,88.899,
13220,"Beckley, WV (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),4563061,
13380,"Bellingham, WA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),13143464,
13380,"Bellingham, WA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,136.203,
13380,"Bellingham, WA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),16036428,
13460,"Bend, OR (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),10243131,
13460,"Bend, OR (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,179.898,
13460,"Bend, OR (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),12618710,
13740,"Billings, MT (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),9970238,
13740,"Billings, MT (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,111.664,
13740,"Billings, MT (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),11570641,
13780,"Binghamton, NY (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),10284622,
13780,"Binghamton, NY (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,98.975,
13780,"Binghamton, NY (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),12314327,
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),58050905,
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,109.251,
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),70874148,
13900,"Bismarck, ND (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),6715190,
13900,"Bismarck, ND (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,103.818,
13900,"Bismarck, ND (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),8243740,
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",1,Real GDP (thousands of chained 2012 dollars),6783900,
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",2,Chain-type quantity indexes for real GDP,115.271,
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",3,Current-dollar GDP (thousands of current dollars),8271597,
